objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
,,,,,,,,,,,,,,,,,,,,,,,,,
wa0001,KillPsych05695.jpg,,First Book of Psychology,image/jpeg,Signed by Jack Wakely,Psychology,,1910,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0002,KillPsych05698.jpg,,"Photo of Psychology Conference, Clark University",image/jpeg,,,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Image;StillImage,eng,
wa0003,KillPsych05700.jpg,,"""Gifted Children: Their Nature and Nurture"" by Leta S. Hollingworth, PHD",image/jpeg,Signed but signature is difficult to read,,,1927,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0004,KillPsych05702.jpg,,Gifted Children Test Board #1,image/jpeg,"Images show morning start, breakfast, walking to school, and helping a person; cloth backing

Judge Bake Foundation, Boston
No. 34054
C.H. Stoelting Co., Chicago, Ill., USA
Made in USA",,,1918,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0005,KillPsych05697.jpg,,Gifted Children's Test Pieces,image/jpeg,"53 pieces currently in set, numbers on back show which pieces are currently missing
Likely 1918, the same as test board, but no confirmation
; ""C.H.Stoelting Co <S> Chicago Ill"" stamped into inside lid; at base of box, number ""368"" is stamped into top",,,n.d,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0006,KillPsych05698.jpg,,Gifted Children Test Board #2,image/jpeg,"Images show afternoon, school and evening activities; cloth backing
Not all pieces are in place, stamped signature of Marguerite Davis in lower right hand corner",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0007,KillPsych05707jpg,,ESP Cards for testing Extra Sensory Perception,image/jpeg,"25 cards total
Copyright by J. B. Rhine;
For Testing Extra Sensory Perception
Developed in Parapsychology Laboratory
At Duke University (writing on front part of card deck)",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0008,KillPsych05700.jpg,,"""The Psychology Principles of Education: A Study in the Science of Education""",image/jpeg,"Signature of student and possibly denoting instructor, ""Dr. Grauberey?""; book belonged to Gurney Chambers; notes on inside of book leaf, possibly owned orig. by M. Stauley Hall?",,,1910,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0009,KillPsych05712.jpg,,Signed photograph of B.F. Skinner,image/jpeg,Writing is on back of photo,,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Image;StillImage,eng,
wa0010,KillPsych05715.jpg,,Behaviorism machine,image/jpeg,"Manufacutred by Ralph Gerbrandts Co. 
8 Beck Road
Arlington, Massachusetts
Model 3, Serial 6014",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0011,KillPsych05718.jpg,,1234 Fax by Dr. Geo W. Crane,image/jpeg,"The Hopkins Syndicate Inc.
Chicago Illinois
Patent Pending Made in USA",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0012,KillPsych05726.jpg,,Weighted cubes and box,image/jpeg," Black cubes, set of 5 that are slightly weighted. Box has the following writing on it:
Cat. No. 1903
1 set of Weighted Cubes
C.H. Stoelting Co.
Manufacturers-Publishers-Importers-Exporters
Psychological and Physiological
Apparatus and Supplies
424 N. Homan Ave Chicago, Ill., USA",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0013,KillPsych05727.jpg,,Memorandum of Parent's Meeting,image/jpeg,Letter/invitation from Dr. Bixler to Dr. Killian on Summer Demostration School,,,5/20/1965,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0014,KillPsych05728.jpg,,Special recognition of Dr. Cecil W. Mann,image/jpeg,,,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0015,KillPsych05729.jpg,,"Photocopy of image of ""Participants in the Conference on Graduate Education in Clicncal Psychology, Boulder Colorado, August-September, 1949",image/jpeg,"Orig. image from Archives of the History of American Psychology, University of Akron; this is just a copy",,,1949,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Image;StillImage,eng,
wa0016,KillPsych05730.jpg,,Photo of Dr. Cecil W. Mann,image/jpeg,,,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Image;StillImage,eng,
wa0017,KillPsych05733.jpg,,Cubes with various markings,image/jpeg,Dice sit in an oblong plastic container in a wooden rest,,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0018,KillPsych05734.jpg,,Letter from Edwin G. Boring to Dr. Cecil Mann,image/jpeg,Signed by Dr. Boring; Mann added details of Dr. Boring under letter,,,10/23/1966,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0019,KillPsych05735.jpg,,Puzzle of farm scene,image/jpeg,"Pictures two horses with chickens and possbly a lamb; homes and pasture in background; Cloth backing
Same company as other Gifted Children Boards - Stoelting; No. 27153; Puzzle is worn and scratched in multiple places, but esp. where puzzle pieces would be inserted and removed",,,n.d.,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,PhysicalObject,eng,
wa0020,KillPsych05736.jpg,," ""Physiological Psychology"" by W. McDougal",image/jpeg,Donated by Dr. Cecil W. Mann,,,1924,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0021,KillPsych05740.jpg,,"""An Introduction to Experimental Psychology"" by C.S. Meyers",image/jpeg,Donated by Dr. Cecil W. Mann,,,1914,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0022,KillPsych05742.jpg,,"""Gifted Children: A Special Class Conducted in the Summer of 1958""",image/jpeg,"Bulletin issued by WCU, editor, Maurice B. Morrill, Editor; information about first gifted children in Summer Demonstration School program
This book is showing signs of mold and should be remediated",,,1958-1959,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
wa0023,KillPsych05744.jpg,,"""Objective Tests in Fiji"" by Cecil W. Mann, M.A., Teacher's College, Sydney",image/jpeg,This book is showing signs of mold and should be remediated,,,1937,,,Killian; Psychology;,"Cullowhee, NC",35.31169276,-83.18168717,,,Psychology,,,,,,Text,eng,
